# Id, TargetTime, Type, IsClaimed, WinnerSubmissionId
1, 2025-10-31 12:09:44.028332, Daily, 0, 
2, 2025-11-01 10:09:44.028332, Daily, 0, 
3, 2025-11-02 07:55:44.028332, Daily, 0, 
4, 2025-11-03 21:09:44.028332, Daily, 0, 
5, 2025-11-04 11:37:44.028332, Daily, 0, 
6, 2025-11-05 10:00:44.028332, Daily, 0, 
7, 2025-11-06 14:48:44.028332, Daily, 0, 
8, 2025-11-07 05:30:44.028332, Daily, 0, 
9, 2025-11-08 03:48:44.028332, Daily, 0, 
10, 2025-11-09 03:24:44.028332, Daily, 0, 
11, 2025-11-06 12:49:00.000000, Weekly, 0, 
12, 2025-11-13 12:20:00.000000, Weekly, 0, 
13, 2025-11-20 12:33:00.000000, Weekly, 0, 
14, 2025-11-27 12:10:00.000000, Weekly, 0, 
15, 2025-12-04 12:15:00.000000, Weekly, 0, 
